Hypothesis,Estimate,Est.Error,CI.Lower,CI.Upper,Evid.Ratio,Post.Prob
(Intercept) > 0,-1.86,1.1,-4.06,0.28,0.04,0.04
(year_norm) > 0,4.28,1.13,2.17,6.59,2284.71,1
(islamic) > 0,1.93,0.84,0.48,3.8,306.69,1
(christian) > 0,2.23,0.67,1.04,3.68,Inf,1
(literacy) > 0,-0.34,0.68,-1.75,0.9,0.46,0.31
