Group,Hypothesis,Estimate,Est.Error,CI.Lower,CI.Upper,Evid.Ratio,Post.Prob
Europe,(year_norm) > 0,4.7,1.59,2.28,8.55,Inf,1
Southwest Asia,(year_norm) > 0,4.37,1.54,1.98,8.1,15999,1
Africa,(year_norm) > 0,3.63,1.03,1.59,5.65,5332.33,1
East Asia,(year_norm) > 0,4.19,1.35,1.77,7.18,591.59,1
South Asia,(year_norm) > 0,3.07,1.43,0.15,6,47.34,0.98
Southeast Asia,(year_norm) > 0,3.24,1.48,0.07,6.06,40.88,0.98
Central Eurasia,(year_norm) > 0,3.35,1.54,-0.09,6.18,36.65,0.97
North America,(year_norm) > 0,2.86,1.46,-0.57,5.33,25.4,0.96
Oceania-Australia,(year_norm) > 0,2.93,1.75,-0.98,6.05,17.29,0.95
South America,(year_norm) > 0,2.7,1.87,-1.55,5.9,13.1,0.93
