entry_id_to,region_id_to,entry_id_from,region_id_from,overlap_start
1574,1328,230,494,-2000
1574,1328,1429,1586,-2000
1126,1270,1124,1267,-1992
1126,1270,738,944,-1992
1248,1394,216,476,-1972
1248,1394,1484,1631,-1972
1248,1394,230,494,-1972
1551,1586,230,494,-1970
1551,1586,216,476,-1970
1551,1586,1574,1328,-1970
1551,1586,1484,1631,-1970
1051,1296,738,944,-1960
1779,1970,239,526,-1956
1871,476,1574,1328,-1900
1871,476,1248,1394,-1900
1871,476,1375,1531,-1900
1871,476,1429,1586,-1900
1871,476,1551,1586,-1900
1871,476,230,494,-1900
1375,1531,1484,1631,-1900
1375,1531,1574,1328,-1900
1375,1531,230,494,-1900
1375,1531,216,476,-1900
1871,476,1484,1631,-1900
1871,476,1005,1159,-1900
1777,1970,1776,1969,-1881
1777,1970,239,526,-1881
1776,1969,239,526,-1881
1776,1969,1779,1970,-1881
1710,1911,1779,1970,-1861
1710,1911,239,526,-1861
1710,1911,1777,1970,-1861
1707,1908,239,526,-1827
1707,1908,1777,1970,-1827
1707,1908,1779,1970,-1827
1620,1838,1871,476,-1800
1620,1838,216,476,-1800
1620,1838,230,494,-1800
1620,1838,1484,1631,-1800
1620,1838,2055,476,-1800
2055,476,1484,1631,-1800
2055,476,1574,1328,-1800
2055,476,1375,1531,-1800
2055,476,230,494,-1800
2055,476,1248,1394,-1800
2055,476,1005,1159,-1800
2055,476,1429,1586,-1800
1928,1673,246,525,-1793
1928,1673,247,525,-1793
2032,1673,247,525,-1767
2032,1673,246,525,-1767
2040,1673,246,525,-1752
2040,1673,247,525,-1752
187,7,1430,1582,-1750
187,7,1425,1582,-1750
1855,494,1005,1159,-1700
1855,494,2055,476,-1700
1855,494,1871,476,-1700
1855,494,1375,1531,-1700
1855,494,1484,1631,-1700
1855,494,1620,1838,-1700
1855,494,1802,2001,-1700
776,980,1005,1159,-1700
1855,494,216,476,-1700
1855,494,1947,2053,-1700
1855,494,1429,1586,-1700
1677,1884,1855,494,-1650
1677,1884,1484,1631,-1650
1677,1884,230,494,-1650
787,983,738,944,-1650
787,983,209,136,-1650
1786,44,1456,1644,-1650
1786,44,738,944,-1650
1211,1356,1677,1884,-1600
938,1084,1677,1884,-1600
938,1084,230,494,-1600
1640,1854,1677,1884,-1600
348,613,187,7,-1600
938,1084,1855,494,-1600
1774,1967,1779,1970,-1557
1774,1967,1777,1970,-1557
1774,1967,1776,1969,-1557
1039,1184,234,533,-1550
1826,1207,209,136,-1550
1039,1184,738,944,-1550
1039,1184,247,525,-1550
1039,1184,246,525,-1550
1119,1262,738,944,-1550
1119,1262,209,136,-1550
1039,1184,209,136,-1550
1826,1207,738,944,-1550
1039,1184,239,526,-1550
1399,1554,1484,1631,-1550
1419,1577,1826,1207,-1550
790,983,738,944,-1550
1419,1577,790,983,-1550
1221,1368,1456,1644,-1550
1221,1368,1786,44,-1550
1419,1577,787,983,-1550
1419,1577,239,526,-1550
1419,1577,1119,1262,-1550
1419,1577,1456,1644,-1550
1419,1577,209,136,-1550
1419,1577,1786,44,-1550
1419,1577,738,944,-1550
1399,1554,216,476,-1550
1399,1554,2055,476,-1550
1399,1554,230,494,-1550
1399,1554,1855,494,-1550
1399,1554,938,1084,-1550
1419,1577,1039,1184,-1550
1399,1554,1620,1838,-1550
1399,1554,1677,1884,-1550
1399,1554,1947,2053,-1550
1419,1577,1051,1296,-1550
790,983,209,136,-1550
1419,1577,1173,1318,-1550
1905,1673,247,525,-1514
1905,1673,246,525,-1514
1069,1207,738,944,-1504
1069,1207,1419,1577,-1504
1069,1207,209,136,-1504
1094,1233,738,944,-1500
1123,136,738,944,-1500
1123,136,1119,1262,-1500
1123,136,1039,1184,-1500
1123,136,1826,1207,-1500
788,984,1855,494,-1500
788,984,938,1084,-1500
788,984,1399,1554,-1500
1123,136,1069,1207,-1500
1123,136,1419,1577,-1500
1123,136,790,983,-1500
788,984,230,494,-1500
422,50,1732,1938,-1500
1094,1233,1039,1184,-1500
1175,1320,1786,44,-1500
1198,1344,1677,1884,-1500
1409,1565,1293,1444,-1500
1201,1347,422,50,-1480
1056,1196,1826,1207,-1479
1056,1196,1419,1577,-1479
1056,1196,1600,1816,-1479
1056,1196,1094,1233,-1479
1056,1196,1069,1207,-1479
1056,1196,1039,1184,-1479
1056,1196,790,983,-1479
1056,1196,738,944,-1479
1056,1196,239,526,-1479
1056,1196,209,136,-1479
1056,1196,1173,1318,-1479
1056,1196,1786,44,-1479
1056,1196,1123,136,-1479
1056,1196,1119,1262,-1479
1143,1211,209,136,-1473
1143,1211,1123,136,-1473
1143,1211,738,944,-1473
1143,1211,1056,1196,-1473
1143,1211,1419,1577,-1473
1339,1492,1056,1196,-1470
1339,1492,738,944,-1470
1339,1492,1123,136,-1470
1339,1492,209,136,-1470
1339,1492,1419,1577,-1470
1105,1249,1419,1577,-1427
1105,1249,1056,1196,-1427
1105,1249,738,944,-1427
1105,1249,1123,136,-1427
1105,1249,209,136,-1427
1850,1207,1419,1577,-1425
1850,1207,209,136,-1425
1850,1207,1123,136,-1425
1850,1207,738,944,-1425
1850,1207,1056,1196,-1425
1907,1673,246,525,-1425
1907,1673,247,525,-1425
1303,1564,230,494,-1400
1303,1564,1399,1554,-1400
1303,1564,1855,494,-1400
1303,1564,1484,1631,-1400
1078,34,738,944,-1352
1078,34,790,983,-1352
1078,34,1447,1604,-1352
1078,34,209,136,-1352
1447,1604,738,944,-1352
1444,1602,738,944,-1352
1444,1602,790,983,-1352
1447,1604,209,136,-1352
1447,1604,790,983,-1352
1444,1602,209,136,-1352
1822,2003,790,983,-1350
1822,2003,738,944,-1350
1822,2003,1078,34,-1350
1822,2003,1444,1602,-1350
211,34,1447,1604,-1350
1822,2003,209,136,-1350
211,34,738,944,-1350
211,34,209,136,-1350
211,34,790,983,-1350
1822,2003,211,34,-1350
1157,1303,790,983,-1335
1157,1303,738,944,-1335
1157,1303,211,34,-1335
1157,1303,209,136,-1335
1040,1185,738,944,-1334
1040,1185,209,136,-1334
1898,2025,1620,1838,-1300
1232,1380,209,136,-1300
1232,1380,1069,1207,-1300
1898,2025,1484,1631,-1300
1232,1380,1826,1207,-1300
1232,1380,1143,1211,-1300
1232,1380,1105,1249,-1300
1232,1380,1339,1492,-1300
1898,2025,1677,1884,-1300
1661,1631,1005,1159,-1300
1661,1631,1303,1564,-1300
1261,1408,187,7,-1300
1232,1380,738,944,-1300
1898,2025,216,476,-1300
1661,1631,2055,476,-1300
1898,2025,230,494,-1300
1661,1631,1855,494,-1300
1661,1631,230,494,-1300
1898,2025,1429,1586,-1300
1898,2025,1375,1531,-1300
1661,1631,216,476,-1300
1661,1631,1375,1531,-1300
1661,1631,1947,2053,-1300
1661,1631,1898,2025,-1300
1661,1631,1677,1884,-1300
1661,1631,1620,1838,-1300
1898,2025,1303,1564,-1300
1898,2025,1005,1159,-1300
1898,2025,1855,494,-1300
1898,2025,2055,476,-1300
1661,1631,1429,1586,-1300
1125,1269,1232,1380,-1292
1125,1269,1826,1207,-1292
1125,1269,1119,1262,-1292
1125,1269,1173,1318,-1292
1125,1269,1339,1492,-1292
1125,1269,1822,2003,-1292
1125,1269,1105,1249,-1292
1125,1269,1069,1207,-1292
1125,1269,1143,1211,-1292
1125,1269,738,944,-1292
1125,1269,209,136,-1292
1125,1269,790,983,-1292
1285,1433,738,944,-1279
1146,1294,1285,1433,-1279
1146,1294,1039,1184,-1279
1146,1294,738,944,-1279
1285,1433,1039,1184,-1279
1065,1205,209,136,-1250
1065,1205,738,944,-1250
1065,1205,1125,1269,-1250
780,982,1484,1631,-1250
780,982,1005,1159,-1250
780,982,1855,494,-1250
780,982,230,494,-1250
299,7,1430,1582,-1250
299,7,1261,1408,-1250
780,982,1661,1631,-1250
189,44,738,944,-1200
23,7,1261,1408,-1200
23,7,1430,1582,-1200
300,44,1306,1456,-1200
300,44,1221,1368,-1200
300,44,738,944,-1200
189,44,1306,1456,-1200
1810,7,1261,1408,-1200
1810,7,1430,1582,-1200
189,44,1284,1432,-1200
189,44,1221,1368,-1200
189,44,1175,1320,-1200
300,44,1175,1320,-1200
1098,1240,187,7,-1200
1245,1391,300,44,-1200
1337,1488,1484,1631,-1200
1098,1240,299,7,-1200
1098,1240,1810,7,-1200
1098,1240,1261,1408,-1200
1098,1240,1430,1582,-1200
1337,1488,1661,1631,-1200
1245,1391,189,44,-1200
1245,1391,1786,44,-1200
1284,1432,300,44,-1200
1284,1432,1786,44,-1200
1284,1432,230,494,-1200
1284,1432,1855,494,-1200
23,7,1098,1240,-1200
1284,1432,1306,1456,-1200
1306,1456,1786,44,-1200
1306,1456,738,944,-1200
1337,1488,1855,494,-1200
1337,1488,230,494,-1200
1284,1432,738,944,-1200
1217,1365,300,44,-1150
1217,1365,189,44,-1150
1217,1365,1284,1432,-1150
1217,1365,1306,1456,-1150
1217,1365,738,944,-1150
1117,1260,1105,1249,-1145
1117,1260,1232,1380,-1145
1117,1260,209,136,-1145
1117,1260,738,944,-1145
1117,1260,1069,1207,-1145
1117,1260,1826,1207,-1145
1117,1260,1143,1211,-1145
1117,1260,1125,1269,-1145
1494,1769,1855,494,-1100
1494,1769,230,494,-1100
1037,535,1822,2003,-1100
1037,535,1285,1433,-1100
1037,535,1125,1269,-1100
1037,535,1173,1318,-1100
1037,535,1146,1294,-1100
1037,535,1119,1262,-1100
1037,535,1105,1249,-1100
1037,535,1143,1211,-1100
1037,535,1069,1207,-1100
1037,535,1039,1184,-1100
1037,535,790,983,-1100
1494,1769,1337,1488,-1100
1037,535,239,526,-1100
1037,535,209,136,-1100
1494,1769,1484,1631,-1100
1494,1769,1661,1631,-1100
1037,535,1232,1380,-1100
1037,535,738,944,-1100
1037,535,1826,1207,-1100
791,983,209,136,-1069
1102,1244,209,136,-1069
1102,1244,738,944,-1069
791,983,738,944,-1069
1102,1244,1143,1211,-1069
1102,1244,1232,1380,-1069
1102,1244,1037,535,-1069
791,983,1037,535,-1069
791,983,1822,2003,-1069
236,532,234,533,-1050
236,532,237,536,-1050
236,532,246,525,-1050
236,532,247,525,-1050
236,532,738,944,-1050
202,79,1810,7,-1046
202,79,1098,1240,-1046
202,79,1261,1408,-1046
202,79,1430,1582,-1046
202,79,187,7,-1046
202,79,23,7,-1046
202,79,299,7,-1046
1980,2091,300,44,-1020
1980,2091,189,44,-1020
1473,1631,1947,2053,-1000
1258,1404,300,44,-1000
1258,1404,738,944,-1000
1258,1404,1306,1456,-1000
1258,1404,1980,2091,-1000
1473,1631,230,494,-1000
1473,1631,1855,494,-1000
1473,1631,780,982,-1000
1473,1631,1337,1488,-1000
1473,1631,1375,1531,-1000
1473,1631,1429,1586,-1000
1473,1631,1494,1769,-1000
1473,1631,1620,1838,-1000
1473,1631,1898,2025,-1000
1473,1631,1005,1159,-1000
1473,1631,2055,476,-1000
1258,1404,189,44,-1000
1473,1631,216,476,-1000
1788,1983,300,44,-960
1788,1983,1258,1404,-960
1788,1983,189,44,-960
2007,2107,738,944,-950
2007,2107,1258,1404,-950
2007,2107,1306,1456,-950
2007,2107,300,44,-950
2007,2107,189,44,-950
1395,1440,300,44,-950
1395,1440,1258,1404,-950
1395,1440,1788,1983,-950
1395,1440,189,44,-950
1189,1333,1855,494,-920
1189,1333,230,494,-920
2016,2113,1143,1211,-909
2016,2113,300,44,-909
2016,2113,189,44,-909
2016,2113,1105,1249,-909
2016,2113,1173,1318,-909
2016,2113,1826,1207,-909
2016,2113,209,136,-909
2016,2113,1037,535,-909
2016,2113,1175,1320,-909
2016,2113,1306,1456,-909
2016,2113,1258,1404,-909
2016,2113,1284,1432,-909
2016,2113,791,983,-909
2016,2113,1707,1908,-909
2016,2113,1774,1967,-909
2016,2113,1776,1969,-909
2016,2113,1777,1970,-909
2016,2113,1779,1970,-909
2016,2113,1822,2003,-909
2016,2113,2007,2107,-909
2016,2113,1232,1380,-909
2016,2113,738,944,-909
308,582,1855,494,-900
775,492,820,996,-900
308,582,1005,1159,-900
1624,582,1661,1631,-900
308,582,1375,1531,-900
308,582,1429,1586,-900
308,582,1473,1631,-900
308,582,1484,1631,-900
308,582,1661,1631,-900
308,582,1620,1838,-900
308,582,1898,2025,-900
1624,582,1898,2025,-900
1624,582,216,476,-900
308,582,230,494,-900
1624,582,2055,476,-900
1624,582,1620,1838,-900
1624,582,1855,494,-900
1624,582,1484,1631,-900
1624,582,1473,1631,-900
1624,582,1429,1586,-900
1624,582,230,494,-900
1624,582,1005,1159,-900
1624,582,1375,1531,-900
1227,1376,236,532,-900
308,582,216,476,-900
1227,1376,234,533,-900
308,582,2055,476,-900
1721,1926,230,494,-890
1721,1926,1855,494,-890
1721,1926,308,582,-890
1721,1926,1624,582,-890
1721,1926,1473,1631,-890
1721,1926,1898,2025,-890
1721,1926,1484,1631,-890
1721,1926,1661,1631,-890
1465,1623,308,582,-865
1465,1623,1898,2025,-865
1465,1623,216,476,-865
1465,1623,2055,476,-865
1465,1623,1855,494,-865
1465,1623,230,494,-865
1465,1623,1484,1631,-865
1465,1623,1473,1631,-865
1465,1623,1624,582,-865
1465,1623,1661,1631,-865
1187,1331,300,44,-850
1187,1331,189,44,-850
1326,1473,1190,1334,-820
492,737,1285,1433,-800
492,737,1284,1432,-800
492,737,1258,1404,-800
492,737,1395,1440,-800
492,737,1704,1905,-800
492,737,1232,1380,-800
492,737,1005,1159,-800
492,737,1011,1208,-800
492,737,1306,1456,-800
492,737,1826,1207,-800
492,737,1143,1211,-800
492,737,1105,1249,-800
492,737,1146,1294,-800
492,737,1257,1403,-800
492,737,1169,1312,-800
492,737,1175,1320,-800
492,737,1186,1330,-800
492,737,1187,1331,-800
492,737,1189,1333,-800
492,737,1190,1334,-800
492,737,1201,1347,-800
492,737,1217,1365,-800
492,737,1173,1318,-800
492,737,1326,1473,-800
492,737,1710,1911,-800
492,737,1343,1496,-800
1604,1820,189,44,-800
1604,1820,300,44,-800
1604,1820,1258,1404,-800
1604,1820,1395,1440,-800
1604,1820,1418,1576,-800
1604,1820,1683,1889,-800
492,737,2016,2113,-800
492,737,1760,1963,-800
492,737,2007,2107,-800
492,737,1902,2031,-800
492,737,1898,2025,-800
492,737,1880,2021,-800
492,737,1822,2003,-800
492,737,1788,1983,-800
492,737,1779,1970,-800
492,737,1777,1970,-800
492,737,1947,2053,-800
492,737,1732,1938,-800
492,737,1721,1926,-800
492,737,1037,535,-800
492,737,1361,1515,-800
492,737,1375,1531,-800
492,737,1391,1547,-800
492,737,1418,1576,-800
492,737,1429,1586,-800
492,737,1465,1623,-800
492,737,1473,1631,-800
492,737,1484,1631,-800
492,737,1661,1631,-800
492,737,1494,1769,-800
492,737,1604,1820,-800
492,737,1620,1838,-800
492,737,1626,1848,-800
492,737,1680,1887,-800
492,737,1683,1889,-800
492,737,1700,1901,-800
492,737,1707,1908,-800
492,737,1337,1488,-800
1418,1576,2016,2113,-800
1683,1889,1258,1404,-800
1418,1576,1898,2025,-800
1700,1901,1187,1331,-800
1700,1901,738,944,-800
1700,1901,300,44,-800
1700,1901,189,44,-800
470,719,492,737,-800
470,719,957,1105,-800
470,719,1391,1547,-800
1683,1889,2016,2113,-800
1683,1889,2007,2107,-800
1683,1889,1788,1983,-800
1683,1889,1700,1901,-800
1683,1889,1306,1456,-800
1683,1889,1395,1440,-800
1683,1889,1284,1432,-800
659,885,1361,1515,-800
492,737,1776,1969,-800
1418,1576,2007,2107,-800
1700,1901,1257,1403,-800
1700,1901,1258,1404,-800
1700,1901,1284,1432,-800
1700,1901,1306,1456,-800
957,1105,1704,1905,-800
1186,1330,2016,2113,-800
1186,1330,1683,1889,-800
1186,1330,1418,1576,-800
1186,1330,1258,1404,-800
1186,1330,1011,1208,-800
1186,1330,300,44,-800
1186,1330,189,44,-800
1683,1889,1187,1331,-800
2009,2108,1704,1905,-800
2009,2108,492,737,-800
1011,1208,189,44,-800
1011,1208,300,44,-800
1011,1208,738,944,-800
1011,1208,1175,1320,-800
1011,1208,1258,1404,-800
1011,1208,2016,2113,-800
1880,2021,1776,1969,-800
2009,2108,957,1105,-800
1683,1889,1011,1208,-800
1683,1889,1217,1365,-800
1683,1889,738,944,-800
1418,1576,308,582,-800
1418,1576,1624,582,-800
1418,1576,738,944,-800
1418,1576,1011,1208,-800
1418,1576,1187,1331,-800
1418,1576,1217,1365,-800
1418,1576,1257,1403,-800
1418,1576,1258,1404,-800
1418,1576,1284,1432,-800
1418,1576,1395,1440,-800
1418,1576,1306,1456,-800
1418,1576,1473,1631,-800
1418,1576,1484,1631,-800
1418,1576,1661,1631,-800
1418,1576,1683,1889,-800
1418,1576,1700,1901,-800
1418,1576,1788,1983,-800
1683,1889,1037,535,-800
1418,1576,230,494,-800
1418,1576,1855,494,-800
1418,1576,189,44,-800
1683,1889,300,44,-800
1683,1889,189,44,-800
492,737,189,44,-800
492,737,300,44,-800
492,737,422,50,-800
492,737,209,136,-800
1418,1576,300,44,-800
492,737,2055,476,-800
492,737,230,494,-800
492,737,216,476,-800
492,737,308,582,-800
492,737,1624,582,-800
492,737,937,872,-800
492,737,659,885,-800
492,737,738,944,-800
492,737,791,983,-800
492,737,957,1105,-800
1391,1547,957,1105,-800
492,737,1855,494,-800
492,737,1774,1967,-800
203,78,1098,1240,-790
2048,2144,492,737,-777
2048,2144,1776,1969,-777
2048,2144,1777,1970,-777
2048,2144,2016,2113,-777
2048,2144,1779,1970,-777
1576,1795,2016,2113,-760
1576,1795,189,44,-760
1576,1795,300,44,-760
1576,1795,492,737,-760
1576,1795,738,944,-760
1576,1795,1011,1208,-760
1576,1795,1186,1330,-760
1576,1795,1187,1331,-760
1576,1795,1217,1365,-760
1576,1795,1257,1403,-760
1576,1795,2007,2107,-760
1576,1795,1284,1432,-760
1576,1795,1788,1983,-760
1576,1795,1700,1901,-760
1576,1795,1683,1889,-760
1576,1795,1258,1404,-760
1576,1795,1418,1576,-760
1576,1795,1306,1456,-760
1576,1795,1395,1440,-760
1576,1795,1604,1820,-760
1346,1499,492,737,-750
1369,1524,216,476,-750
1369,1524,1898,2025,-750
1369,1524,230,494,-750
1369,1524,1855,494,-750
1369,1524,308,582,-750
1369,1524,1624,582,-750
1369,1524,492,737,-750
1369,1524,1473,1631,-750
1369,1524,1484,1631,-750
1369,1524,1661,1631,-750
1369,1524,2055,476,-750
756,961,775,492,-750
1214,1361,1418,1576,-750
1214,1361,189,44,-750
1214,1361,1011,1208,-750
1214,1361,1258,1404,-750
1214,1361,1576,1795,-750
1214,1361,1683,1889,-750
1214,1361,2016,2113,-750
1174,1319,2016,2113,-750
1174,1319,1418,1576,-750
1214,1361,300,44,-750
1214,1361,492,737,-750
1174,1319,492,737,-750
1174,1319,1011,1208,-750
993,872,492,737,-712
2001,1404,738,944,-700
2001,1404,1011,1208,-700
2001,1404,1306,1456,-700
2001,1404,1418,1576,-700
2001,1404,1576,1795,-700
2001,1404,1604,1820,-700
2001,1404,1683,1889,-700
2001,1404,1700,1901,-700
2001,1404,1788,1983,-700
2001,1404,1395,1440,-700
2001,1404,492,737,-700
1924,1404,492,737,-700
2001,1404,189,44,-700
1924,1404,300,44,-700
1924,1404,189,44,-700
1924,1404,1788,1983,-700
1924,1404,1700,1901,-700
2001,1404,2016,2113,-700
1924,1404,1604,1820,-700
1924,1404,1576,1795,-700
1924,1404,1418,1576,-700
1924,1404,1306,1456,-700
1924,1404,1395,1440,-700
1924,1404,1186,1330,-700
1924,1404,1011,1208,-700
1924,1404,738,944,-700
2001,1404,300,44,-700
1924,1404,1683,1889,-700
1924,1404,2016,2113,-700
726,934,820,996,-700
1176,809,1430,1582,-700
1176,809,1098,1240,-700
1176,809,203,78,-700
1359,1513,2016,2113,-700
1359,1513,1418,1576,-700
1359,1513,1011,1208,-700
1359,1513,492,737,-700
1359,1513,300,44,-700
1359,1513,189,44,-700
1129,1274,492,737,-700
1129,1274,1169,1312,-700
726,934,775,492,-700
2001,1404,1186,1330,-700
1138,1282,492,737,-699
1437,1594,492,737,-680
1437,1594,1190,1334,-680
792,983,209,136,-664
792,983,738,944,-664
792,983,1037,535,-664
792,983,1822,2003,-664
792,983,2016,2113,-664
792,983,492,737,-664
1973,588,2009,2108,-655
1973,588,1902,2031,-655
1973,588,1760,1963,-655
1973,588,1732,1938,-655
1973,588,1704,1905,-655
1973,588,1680,1887,-655
1973,588,1361,1515,-655
1973,588,1391,1547,-655
1973,588,1343,1496,-655
1973,588,422,50,-655
1973,588,2016,2113,-655
1973,588,492,737,-655
1973,588,659,885,-655
1973,588,470,719,-655
1973,588,1129,1274,-655
1973,588,1169,1312,-655
1973,588,1201,1347,-655
1973,588,957,1105,-655
1973,588,1346,1499,-655
632,864,1138,1282,-650
632,864,492,737,-650
1213,1360,492,737,-650
1213,1360,1973,588,-650
1213,1360,422,50,-650
1294,1445,1473,1631,-649
1294,1445,492,737,-649
1294,1445,1855,494,-649
1294,1445,1484,1631,-649
1294,1445,308,582,-649
1294,1445,1624,582,-649
1294,1445,230,494,-649
1294,1445,1661,1631,-649
1294,1445,1898,2025,-649
1696,1899,1971,588,-600
198,50,1973,588,-600
1230,1379,492,737,-600
198,50,1732,1938,-600
198,50,1230,1379,-600
198,50,1213,1360,-600
198,50,1201,1347,-600
1971,588,492,737,-600
198,50,492,737,-600
1971,588,470,719,-600
198,50,1971,588,-600
597,467,1176,809,-600
1971,588,659,885,-600
597,467,1098,1240,-600
597,467,1430,1582,-600
231,540,492,737,-600
231,540,937,872,-600
231,540,993,872,-600
231,540,663,889,-600
231,540,1626,1848,-600
850,1017,1989,2096,-600
850,1017,492,737,-600
850,1017,231,540,-600
1230,1379,422,50,-600
1230,1379,1971,588,-600
1230,1379,1973,588,-600
597,467,203,78,-600
1971,588,957,1105,-600
1971,588,422,50,-600
1971,588,1169,1312,-600
1971,588,1732,1938,-600
1971,588,1760,1963,-600
1971,588,1902,2031,-600
1971,588,2009,2108,-600
1971,588,2016,2113,-600
1696,1899,1973,588,-600
1696,1899,492,737,-600
663,889,492,737,-600
1971,588,1704,1905,-600
1993,2099,1680,1887,-600
1993,2099,492,737,-600
1993,2099,1973,588,-600
1993,2099,1971,588,-600
1993,2099,422,50,-600
1993,2099,198,50,-600
1989,2096,492,737,-600
663,889,937,872,-600
663,889,993,872,-600
1971,588,1129,1274,-600
1971,588,1680,1887,-600
1971,588,1201,1347,-600
1971,588,1391,1547,-600
1971,588,1361,1515,-600
1971,588,1343,1496,-600
1971,588,1213,1360,-600
1332,1616,1227,1376,-600
1971,588,1346,1499,-600
1264,1412,308,582,-598
1264,1412,230,494,-598
1264,1412,1369,1524,-598
1264,1412,1375,1531,-598
1264,1412,1484,1631,-598
1264,1412,1661,1631,-598
1264,1412,492,737,-598
1471,1629,300,44,-593
1471,1629,189,44,-593
1471,1629,1418,1576,-593
1471,1629,1604,1820,-593
1471,1629,1788,1983,-593
1471,1629,1700,1901,-593
1471,1629,2016,2113,-593
1471,1629,1576,1795,-593
1471,1629,1683,1889,-593
1471,1629,1661,1631,-593
1471,1629,1375,1531,-593
1471,1629,738,944,-593
1471,1629,1258,1404,-593
1471,1629,1484,1631,-593
1471,1629,1264,1412,-593
1471,1629,492,737,-593
1471,1629,308,582,-593
1471,1629,1395,1440,-593
1471,1629,1369,1524,-593
1471,1629,1924,1404,-593
1471,1629,2001,1404,-593
1471,1629,230,494,-593
1203,1349,1683,1889,-586
1203,1349,1604,1820,-586
1203,1349,1576,1795,-586
1203,1349,1471,1629,-586
1203,1349,1418,1576,-586
1203,1349,1359,1513,-586
1203,1349,1700,1901,-586
1203,1349,2016,2113,-586
1203,1349,2001,1404,-586
1203,1349,189,44,-586
1203,1349,300,44,-586
1203,1349,492,737,-586
1203,1349,738,944,-586
1203,1349,1011,1208,-586
1203,1349,1174,1319,-586
1203,1349,1217,1365,-586
1203,1349,1257,1403,-586
1203,1349,1258,1404,-586
1203,1349,1924,1404,-586
1203,1349,1395,1440,-586
1203,1349,1186,1330,-586
1203,1349,1284,1432,-586
772,976,492,737,-580
1717,1922,492,737,-570
1717,1922,632,864,-570
1120,1263,1098,1240,-551
1270,1417,1430,1582,-551
1270,1417,1120,1263,-551
1270,1417,1098,1240,-551
1270,1417,1176,809,-551
1270,1417,597,467,-551
1270,1417,203,78,-551
1120,1263,1430,1582,-551
1120,1263,1176,809,-551
1120,1263,597,467,-551
1120,1263,203,78,-551
424,548,1947,2053,-550
1979,588,1129,1274,-550
1979,588,1169,1312,-550
1979,588,1201,1347,-550
1979,588,957,1105,-550
1979,588,659,885,-550
