entry_id,entry_name,max_dim,max_dim_value,num_not_answered
2232,"Lollards, Lollard, the Lollard movement, Lollardism,  Lollardy, Wycliffites",dim1,0.44,1
374,Non-dual Śaiva Tantra,dim1,0.43,6
2131,Chimú Empire Religion,dim1,0.37,8
848,Sadducees,dim10,1.0,0
862,Ilm-e-Khshnoom,dim10,1.0,0
893,Sethian Gnostic,dim10,1.0,0
986,Theurgy,dim10,1.0,0
1270,The Zhuangzi,dim10,1.0,0
1427,The Chaldaean Oracles,dim10,1.0,0
1431,Elements of Theology,dim10,1.0,0
1534,Shorter Sukhāvatīvyūha Sūtra,dim10,1.0,0
812,Temple of the Jedi Order,dim10,1.0,2
1943,Cult of Gauchito Gil,dim10,1.0,2
1279,Mandarese Muslims,dim10,1.0,6
1552,The Key of Ilme Kṣnum to Understand the Zoroastrian Religion,dim10,0.99,0
294,Xuanxue 玄學,dim10,0.99,1
1044,Han Imperial Cult under Emperor Wu,dim10,0.99,1
1304,Peyote Religion (Peyotism) and the Native American Church,dim10,0.97,0
1190,Ancient state of Urartu,dim10,0.97,2
1326,Meher Kapısı inscription (Urartian text),dim10,0.97,2
689,Lengua,dim10,0.97,10
1289,Buginese Muslims,dim10,0.95,5
871,Spiritualism,dim10,0.94,0
1721,Tell Fekheriyeh Inscription,dim10,0.92,5
1224,Duren jing,dim10,0.9,4
710,Hidatsa,dim10,0.9,11
679,Santal,dim10,0.89,10
190,Sri Lankan Buddhism (1948-Present),dim10,0.88,2
1684,The Lives of the Philosophers and Sophists,dim10,0.85,3
849,"""Gaiwiio Religion,"" ""Longhouse Religion,"" or ""The Way of Handsome Lake"" of the Seneca Tribe",dim10,0.79,0
673,Pawnee,dim10,0.79,12
1234,Ashanti,dim10,0.72,9
1283,Butonese Muslims,dim10,0.7,1
1178,Modern Mystery School (MMS),dim10,0.66,1
655,Siriono,dim10,0.65,8
860,Kimpa Vita,dim10,0.64,0
622,Miskito,dim10,0.64,11
212,Warring States (China) Religion,dim10,0.62,8
1259,"The LuWang School, the School of Lu Xiangshan and Wang Yangming",dim10,0.6,0
1109,Chan Buddhism in the Song,dim10,0.55,0
685,Badjau,dim10,0.54,7
1031,Eastern Roman Manichaeism,dim10,0.52,2
671,Mbau Fijians,dim10,0.48,11
684,Huron,dim10,0.43,10
652,Tiwi,dim10,0.43,13
677,Yapese,dim10,0.43,13
1144,The Yijing 易經 (The Classic of Changes),dim10,0.39,9
658,Mapuche,dim10,0.37,8
1240,Azande,dim10,0.36,10
899,Nahdlatul Ulama (NU),dim11,1.0,0
977,Chishti Sufis,dim11,1.0,0
1024,Universal Salvation Ritual,dim11,1.0,0
1639,Hujjat Allāh al-Bāligha,dim11,1.0,0
2074,"Revolutionary Mahdism and Resistance to Colonial Rule in the Sokoto Caliphate, 1905-1906",dim11,1.0,0
2090,أسهل المدارك شرح إرشاد السالك في فقه إمام الأئمة مالك,dim11,1.0,0
2236,الرّسالة المفصّلة لأحوال المتعلّمين وأحكام المعلّمين والمتعلّمين لأبي الحسن  علي القابسي,dim11,1.0,0
950,The Religious Society of Friends,dim11,0.99,0
1038,Sino-Muslims in Qing China,dim11,0.99,0
2077,ضياء السياسات والفتاوى والنوازل مما هو في فروع الدين من المسائل,dim11,0.99,0
855,Middle-Class Migrant Muslims in the UAE,dim11,0.98,0
1998,The Chinese Christian Scroll Pelliot chinois 3847,dim11,0.97,0
2083,(The spirit of Morality)روح الأدب,dim11,0.96,0
2160,Manichaeans,dim11,0.95,2
1374,The Reformed Church (Early Orthodoxy),dim11,0.94,0
1653,Visigothic Homoian Christianity,dim11,0.94,2
1335,Congregation of the Oratory,dim11,0.92,0
1468,Eastern Christianity From Nicaea to Chalcedon,dim11,0.89,3
974,"Greek Chalcedonian Christians, Nicaea",dim11,0.88,0
1392,Messalians,dim11,0.88,4
1694,Christianity in Byzantium: Between the Schism and the Fourth Crusade,dim11,0.87,0
1903,The 'Abbāsids,dim11,0.85,2
1028,German Pietists (Hasidei Ashkenaz),dim11,0.83,1
980,Pure Land Buddhist Schools in Early Medieval Japan,dim11,0.81,0
1709,Almohads (al-Muwaḥḥidūn),dim11,0.78,0
1260,Qiṣṣat Dhī al-Qarnayn,dim11,0.74,3
859,Valentinians,dim11,0.71,0
1255,Julian Romance,dim11,0.71,3
755,Uyghur Islam,dim11,0.63,0
1520,Kitāb al-Khilāf fῑ al-Aḥkām by Al-Shaykh al-Ṭūsī,dim11,0.63,0
2243,Hui People,dim11,0.63,0
1570,Tamil Muslims,dim11,0.62,0
2208,The Book of Judith,dim11,0.59,2
688,Darul Uloom Deoband,dim11,0.56,0
1371,Twelver Shi'ism in post-revolutionary Iran,dim11,0.56,0
