entry_id,entry_name,year_from,year_to,region_id,christian_tradition,world_region,gis_region,area_sq_km
23,Late Shang Religion,-1250,-1045,7,False,East Asia,"MULTIPOLYGON (((108.66096496582 34.34326171875, 116.18407845497 33.867191076279, 118.98811340332 37.68310546875, 118.76838684082 38.16650390625, 116.37336730957 40.40771484375, 110.08918762207 40.10009765625, 108.66096496582 34.34326171875)))",508986.84259841195
184,Chinese Buddhism (Northern Wei),386,534,7,False,East Asia,"MULTIPOLYGON (((108.66096496582 34.34326171875, 116.18407845497 33.867191076279, 118.98811340332 37.68310546875, 118.76838684082 38.16650390625, 116.37336730957 40.40771484375, 110.08918762207 40.10009765625, 108.66096496582 34.34326171875)))",508986.84259841195
187,Chinese State Religion (Shang and Western Zhou),-1750,-850,7,False,East Asia,"MULTIPOLYGON (((108.66096496582 34.34326171875, 116.18407845497 33.867191076279, 118.98811340332 37.68310546875, 118.76838684082 38.16650390625, 116.37336730957 40.40771484375, 110.08918762207 40.10009765625, 108.66096496582 34.34326171875)))",508986.84259841195
299,Shang State Religion,-1250,-1046,7,False,East Asia,"MULTIPOLYGON (((108.66096496582 34.34326171875, 116.18407845497 33.867191076279, 118.98811340332 37.68310546875, 118.76838684082 38.16650390625, 116.37336730957 40.40771484375, 110.08918762207 40.10009765625, 108.66096496582 34.34326171875)))",508986.84259841195
1810,Shang Oracle Bone Inscriptions,-1200,-1046,7,False,East Asia,"MULTIPOLYGON (((108.66096496582 34.34326171875, 116.18407845497 33.867191076279, 118.98811340332 37.68310546875, 118.76838684082 38.16650390625, 116.37336730957 40.40771484375, 110.08918762207 40.10009765625, 108.66096496582 34.34326171875)))",508986.84259841195
173,Johannine Christianity,90,120,483,True,Southwest Asia,"MULTIPOLYGON (((27.335643048863858 37.940165790168884, 27.34130787430331 37.93535959670687, 27.34783100662753 37.933734896858724, 27.354010816197842 37.937119647685755, 27.35478329239413 37.94253492481581, 27.349890943150967 37.94693454367261, 27.34233784256503 37.94835590269415, 27.3365871864371 37.94531009969338, 27.335643048863858 37.940165790168884)))",1.9457297049489861
174,Matthew-James-Didache Movement,50,160,352,True,Southwest Asia,"MULTIPOLYGON (((42.220829010009766 37.27747726440435, 42.38473510742199 37.067180633545085, 41.8816833496096 36.62344741821295, 41.41371917724621 36.52046966552734, 41.29452896118187 36.35617446899414, 41.394287109375 35.63027191162104, 41.2333335876466 35.24802780151373, 41.23775100708019 34.7849769592288, 41.01236724853527 34.41986465454107, 36.8458251953125 32.31248474121093, 36.40965652465832 32.38219451904325, 35.804466247558594 32.742668151855526, 35.92184448242199 32.90586853027344, 35.87165069580101 33.358684539795036, 36.06920623779297 33.57336044311546, 35.9470100402832 33.650226593017805, 36.16481399536133 33.84800720214855, 36.383949279785384 33.82193374633795, 36.303096771240234 33.92564010620117, 36.639190673828125 34.20569610595703, 36.562397003174055 34.41955184936535, 36.34556579589844 34.51200866699236, 36.47127914428722 34.63017654418945, 35.97041702270553 34.64430618286133, 35.854026794433935 34.909305572509815, 35.91510009765625 35.41711425781256, 35.716251373291016 35.585693359375, 35.89958190917969 35.921249389648494, 36.16907119750999 35.81542587280273, 36.378593444824446 36.00100326538086, 36.39754867553711 36.22323989868187, 36.700714111328125 36.24428176879911, 36.552886962890625 36.49698257446295, 36.67073059082031 36.842720031738565, 37.090995788574446 36.62364578247076, 38.2528190612793 36.91348648071289, 38.73147201538097 36.70748519897461, 39.22734832763672 36.664997100830135, 39.84182739257824 36.75532150268549, 40.7817268371582 37.12058258056646, 41.558143615722656 37.085227966308594, 42.220829010009766 37.27747726440435)))",189026.90854126585
176,Qumran Movement,-150,68,486,False,Southwest Asia,"MULTIPOLYGON (((35.49407958984375 31.76411440424895, 35.28533935546875 31.8877974988174, 35.03814697265625 31.88546538985067, 34.9090576171875 31.7944671022981, 34.881591796875 31.642604074448293, 35.10955810546875 31.69169471362957, 35.31829833984375 31.7711197571583, 35.43365478515625 31.752437637515218, 35.35675048828125 31.54200425650421, 35.36224365234375 31.40613958280258, 35.38970947265625 31.408483747452625, 35.4034423828125 31.567749432530757, 35.49407958984375 31.76411440424895)))",1008.786632142006
178,Ancestral Cult of the Han,-206,220,104,False,East Asia,"MULTIPOLYGON (((108.0998236095943 21.52951842647379, 107.3940829344557 21.323901784737334, 107.2752205816405 21.02736146563836, 106.99436165845316 21.040052298905728, 106.66715543239297 20.82928467878667, 106.5898132299593 20.433869074536325, 106.04417529695252 20.09744494771234, 105.83891273388372 19.817555630911823, 105.65660179622137 19.24049520446252, 105.85178865062164 18.60279635073736, 106.39775625141306 18.283177436807705, 106.40617213219366 17.96150558747888, 106.5753928725801 17.66735263172173, 107.12198226595865 17.11815537441866, 107.4722463999733 16.969419239813526, 107.31155727748751 16.942707071589442, 108.0035180925131 16.30926037940786, 107.48445732564983 16.301253798815605, 106.98451826149403 16.57864781541327, 105.26174677255676 18.692834987318214, 105.11092959074404 19.42602821169642, 105.49458949102939 20.307360388950922, 105.41317319910195 21.150114222929332, 104.1791731094612 22.04372368629193, 103.89576660250077 22.10290132406225, 103.61560695166543 21.852905296888654, 103.23312339962831 21.870836712746904, 102.71458732994995 22.6873060482968, 102.39625810595317 22.67039484179737, 102.16673790884147 22.266895802573295, 102.16377458904299 21.496839667418204, 102.05244535834777 21.45534309416917, 101.65275263039587 21.575288452042592, 101.58546152151257 22.021022218044884, 100.92718394703274 21.82794389974471, 100.51481090320635 21.931819173841383, 100.36128369766845 22.122427601833046, 100.45246813098959 22.4234749319008, 100.22771949986907 22.538241246899386, 100.16025821326139 22.427499135152015, 99.32178360069088 22.450738754037204, 99.18791674017598 22.53499543303853, 99.11239871631597 23.105911586187684, 99.20415594806036 23.21883631033542, 99.0712974731955 23.42048784046785, 99.34502790861416 23.78299965718853, 99.11816674976433 24.29524034557491, 99.25808947244252 24.447622324963135, 98.55550404045357 24.402386351053327, 98.17688604882972 24.08837708966821, 97.72528193844585 24.248611088989716, 97.1861388974495 25.066862869259413, 96.80825257757226 25.967546343038517, 96.55180185425809 27.06616537951196, 96.5943971144053 27.340226036945854, 96.91512396551423 27.702193144154478, 97.56372577216462 27.791491466335387, 98.05334356043409 27.568489991543217, 97.85398969532548 27.796415630295737, 97.90680534080707 28.01327335249316, 98.1684221488016 28.262063544266418, 98.22814510240323 28.6445905388774, 98.49890191000657 28.835260013335674, 99.05605879730786 28.53262777064369, 99.42685351430555 28.683257825523423, 100.15754161368136 28.224481565265574, 100.47938215556064 27.528603105574962, 100.75814354832676 27.242103372779475, 100.99980602002529 27.49643650449456, 101.16716727173548 27.993867343647064, 101.93745539704457 28.509650057568486, 101.79438654019214 29.365298907646377, 101.93041843728702 29.659292582317825, 102.78247772966677 30.035865926010427, 102.9882954097884 30.68996989719301, 103.3651379724406 31.30693731508444, 103.31744273858396 32.052693898175995, 103.58078632538377 32.92434588227895, 103.97833200140508 33.06635885328866, 104.63934238129389 32.91162073230979, 104.73207353289013 33.39229992829034, 105.05351967045272 33.67003209309577, 104.74237578491534 34.225803978116765, 104.02147864795006 34.626803907020204, 103.78211656004248 35.385798117732286, 103.06214138660027 35.910945311269515, 103.00069139400284 36.227788088258855, 102.40411829198524 36.31683566501216, 102.36597943187849 36.658650888055945, 102.11882088433731 37.00864538845917, 102.17575621701053 37.15551253407448, 103.35509360391075 37.095360874367344, 103.4511375447953 37.47022053581558, 101.69265312443338 38.52013862316718, 101.19155435253538 38.64516783342881, 100.23927158648848 39.42735623318843, 99.71886764538726 39.519909780269415, 98.81365520864915 39.43912896647918, 97.93308731973843 39.804516697069296, 96.91024439506907 39.99077784111952, 95.48096209353048 39.7093788777483, 94.89657961801038 39.78159024243523, 93.93142977539924 39.415036706699, 93.08521480089166 39.33097179108703, 92.08756818233815 39.03775052904768, 91.90676368294112 38.81848511788445, 91.95342253877311 38.649563039052474, 92.8966813056777 37.90870358534644, 92.97354039731204 37.54387983729743, 92.52510211458366 37.33089406601125, 92.35361001213039 37.07950886469387, 92.80532685277637 37.09339208980371, 92.81637037518135 36.989241071354854, 92.15304191963185 36.65876944307274, 91.52472987884357 36.04933971699863, 90.63517256545924 35.97729384975126, 89.89079992092127 36.32227243532247, 88.74379222465109 36.19721660834953, 88.03487686044923 36.487513139251995, 86.89425181706963 36.40047351032549, 85.91563676265832 36.023015070777575, 85.51240722700015 36.28023207920699, 84.73470390294324 36.33142793355982, 84.18312134216626 36.00242029417529, 83.68103219583327 35.937603688176154, 82.74574224182629 36.11784543590692, 82.37966704065286 35.67698005668921, 82.3774278802241 35.31947265944792, 82.20205756807422 35.19341441653171, 81.60492488581099 35.185222822698606, 81.01440287995138 35.50747894650982, 80.74315889667571 36.26029770162356, 80.10753222571202 36.32164255202346, 79.36144971983686 36.690554259094625, 79.0988921806346 36.612028119329935, 78.70383730969888 37.27583203799783, 77.8946846918218 37.78523501844213, 75.8504396147041 37.52232924785025, 75.23318909123054 37.19182399082497, 75.05960560732058 37.463810926571135, 75.05592680376503 37.99301360018436, 75.15243300741622 38.46745609763564, 75.62785022386811 39.229817242556315, 75.50586366345897 40.06356966983589, 76.16897338632782 40.474125938587626, 76.29118115115045 41.17700965725322, 76.8227714451607 41.47886168326942, 76.90959913938968 41.67433750981776, 77.43031225649293 41.258106572165346, 78.30826774317359 41.01399103996637, 79.12022691076561 41.40069113682027, 80.61247673628714 41.74544924805572, 82.52862952661371 42.666480768829075, 86.12051567130993 42.87018496314284, 87.35926164213731 43.19742207833863, 87.88411607944533 43.751297494227465, 88.29307376510428 44.61261319397829, 88.28638181704332 45.43523372552372, 88.4839015277779 46.254389014136194, 94.04983286353684 45.38100357152028, 96.36063588288198 45.33955029101449, 97.49153854074359 44.993452975011756, 98.05389929377156 44.44069413726119, 98.15338269007793 44.14268308411541, 98.1761848615065 43.586091009891874, 97.89115247792824 42.946699638374994, 98.38157055016597 42.610413398115824, 99.895976703874 42.60303555637482, 100.792176407189 42.83011799690955, 101.28152994090647 42.80175702858507, 101.86738915147066 43.20737695808301, 103.03428798903678 43.11672848165753, 103.30302372812116 42.528299946376286, 103.58142793828029 42.48726485481297, 103.67129776396132 41.99325216438711, 103.22106996255081 41.49940767490635, 101.85016298820756 40.67238293147479, 101.68820305111069 40.26697465295558, 101.72215181069475 40.02006954362981, 102.05016919185334 39.522971377998005, 102.74112980597044 39.13451492838912, 103.20359713073037 39.09521618885785, 103.86508773776904 40.08966937160436, 104.4201535922416 40.27740345025019, 104.74012537032831 40.009578984916224, 105.0457899905308 38.97826488831974, 105.31253999021351 38.69400990381499, 105.71313988978238 38.61761759900766, 106.15198511279277 38.63667393668732, 106.45948135792287 38.81576486488758, 106.7318517070338 39.60016506714803, 107.17614791911319 39.63948341200136, 107.35405550471398 39.478460846013654, 107.24649757025497 38.90330858804544, 107.33662682893635 38.63220613576424, 108.12784014314684 38.213503499035596, 108.21306234569818 37.15506989568941, 108.34902598972121 37.09860726890157, 108.84036298612193 38.121538903106035, 109.24968712435634 38.664594315278784, 109.3112865545013 39.27319030005495, 109.56424921371399 39.64594519268444, 109.58825742928252 39.97983698225346, 109.50825214209272 40.09797161799149, 108.6073807535679 40.13051101479557, 108.30523694811643 40.31445926201509, 107.5712848819727 40.36647882394739, 107.25116004371625 40.52326524536198, 107.20248203445294 40.83131020319012, 107.41537254463128 41.24303943929711, 107.87325973617612 41.56604146595103, 108.9187559305675 41.60164640278124, 112.5759223799372 41.252358325459966, 113.91568635156295 40.8569980718096, 115.02204747141491 41.25238618910532, 115.5554665243327 41.20866675839651, 115.89383984169342 41.516218935521984, 116.19565539459825 41.52675673747491, 116.33672299199247 41.508373748061025, 116.65926277989684 41.028640141008914, 116.90433744695804 40.956786474198815, 119.77918776545687 40.74282677275009, 120.16574143458593 40.8694923536752, 120.6059764289837 41.67600811323515, 120.92006223667045 41.98203738184816, 121.57636345206447 42.17014352483432, 123.05299235535676 42.070150793807954, 124.10202071056733 42.44763708078805, 124.3919481504995 42.42302625862571, 124.4532896309106 42.2921252137653, 124.14159011613333 41.82521702264335, 124.3720848640869 40.91945184307104, 124.73672362641162 40.38337913851803, 125.38162017760533 39.99512737281642, 125.53690672629807 39.607972361897666, 126.61617928068506 40.237714097471816, 126.87722667649916 40.191796640086515, 126.77327655705619 39.410716720646334, 126.9138397474843 38.96517909334541, 126.67281676165248 38.64855447856465, 126.58337588211134 37.94204228955216, 126.45805874328244 37.802997898930045, 125.97028394578024 37.749316657416976, 125.4426004577565 38.001226382768785, 125.50439541229662 37.83257264646609, 125.24285545038651 37.68535566264822, 125.41341502227033 37.825059991495955, 124.91434552194983 37.86741613622466, 125.13582954318781 38.05350660557993, 124.64139973386966 38.09890928620501, 124.84710156815208 38.20223972127083, 124.92246342509327 38.557844808641164, 125.82488691233391 38.6908268419336, 125.54927488094768 38.73096496109284, 125.49432922670053 38.90369777847185, 125.56437144197378 38.65801769608325, 125.124350190021 38.72262663862904, 125.08727826620895 38.86931465061283, 125.43871362121945 39.393974385542556, 124.79544670130394 39.76519652185892, 124.66624506173162 39.58729087031107, 124.33499506532144 39.9737712120387, 124.02332806133802 39.805842871293464, 123.62729979610833 39.92575587170784, 123.55701993810487 39.76107787438323, 123.23686838526157 39.817580879904035, 123.2676603622167 39.69197788038236, 122.99234668213956 39.715297886938856, 122.2267223269871 39.345355912423315, 122.06133943248517 39.06413291915231, 121.82714054104963 39.040069926300035, 121.89452351577029 38.96134192471217, 121.70313958971201 39.053618929885324, 121.58434263630522 38.94491593382604, 121.69480860012186 38.86537593103572, 121.13758076814429 38.72707394680067, 121.09824377212567 38.93459294705753, 121.6663506020991 39.087851930795686, 121.59052262251782 39.27249493214827, 121.92604748131043 39.398578921425496, 121.50232664919668 39.36723693429158, 121.44193266390153 39.51352293540927, 121.59017861076495 39.601970930647425, 121.47038264500043 39.811183933296974, 121.8840094727966 40.00000391954486, 122.32620719172996 40.48451690201618, 121.92003339525559 41.24038491178118, 121.68046551252792 41.21890192023127, 121.72144650455425 40.97148792001387, 121.23293368392979 40.99809393568489, 121.00404274938512 40.86582894291619, 120.92317977115567 40.73979594559445, 121.0252687476966 40.713538942824044, 120.83409879164526 40.680694948197775, 120.43778386714916 40.229149959213196, 119.54357095305136 39.895709976634095, 119.21665196998242 39.56545598156924, 119.30297896719685 39.413825980642905, 119.02088897792646 39.205886984262726, 117.90412899595594 39.20736699334285, 117.72476199715925 39.10559799432574, 117.77050799700214 38.98562999414171, 117.53073099831192 38.6928709953433, 117.80516799737575 38.29770699423027, 117.71917599787389 38.19609399467917, 118.03398699629543 37.96823099316156, 118.0020879966421 37.84125699339751, 118.2684659943219 37.99181499171996, 118.48755999205287 37.86941299025992, 118.41287599320117 37.725303990896016, 118.60067299050252 37.861915989392344, 118.85114998694144 37.54981098751671, 118.77964798880475 37.32790398833366, 118.92369898613947 37.30802898707328, 118.81218698835539 37.27785898809651, 119.32778197641005 37.0832209831873, 119.73255195981017 37.1079409781248, 119.90586094905541 37.26527797538546, 119.84623695194523 37.36070297609936, 120.30394791524668 37.59358596818858, 120.21877292210377 37.68491696949561, 120.74040985973863 37.83315695900785, 121.2849197638136 37.54489494759123, 121.38192773802984 37.624289944909364, 121.55573269675278 37.427634941412315, 121.99086754488008 37.433074930202984, 122.1171104832091 37.56404092616148, 122.15695947188613 37.42385892592151, 122.69799715624868 37.40881291244893, 122.54347926577248 37.331679916686205, 122.62011622605155 37.19744491576731, 122.38025638133695 37.02947192264427, 122.570952269283 37.0391269180036, 122.3439864124191 36.83363692473752, 122.18167849052861 36.85070392859515, 122.27680144217857 36.90735592592642, 122.14343250300271 36.9438929290109, 122.21906246290769 37.04042392656893, 122.03471355173463 36.897952931968895, 121.94346558218581 37.02382993358195, 121.6320876975733 36.73290194262973, 121.47843873804845 36.774260946087175, 121.61286169917207 36.85140594256146, 121.45202574197651 36.86862194631581, 121.37660976483232 36.704043948731, 120.7834318732638 36.632655961635926, 120.76634987695297 36.54524996222298, 120.97627284634245 36.54312495802787, 120.87943986420487 36.371558960521064, 120.7021328866158 36.4506029637203, 120.70471189102659 36.13125996455554, 120.29036693263697 36.05288697185485, 120.32700292724189 36.28676597074689, 120.30489393012715 36.1854059713318, 120.0949629451519 36.2334519744905, 120.17096694219845 35.9792249738569, 120.29412093316103 35.97101997197378, 120.04306795126081 35.88663497591025, 119.86891896263637 35.615294978753745, 119.61818697326271 35.61020298182919, 119.19840198746999 34.98947498688548, 119.19618998829878 34.74188998716689, 119.45797698227477 34.748839984706414, 119.81335497201917 34.48074698126106, 120.30979594690098 34.42209797503611, 120.28902494965371 34.26583097564396, 120.46807593683207 34.30146097302788, 120.39792694833363 33.64297097544208, 120.78698292974218 32.66038897226157, 121.31365187565439 32.41925496505958, 121.21211089365192 32.14905896740045, 121.80115480471227 31.940175958950462, 121.53628285531795 31.80935696349942, 120.97497892395836 31.808830971710265, 121.72461683638335 31.272801962364717, 121.86482381999281 30.907315961486326, 121.04492193344754 30.59268897366167, 120.90461694679766 30.375804975872267, 120.66409296163738 30.400618978632373, 120.64347796491029 30.137885979343505, 121.3183139112831 30.314033970777796, 121.6979898699044 29.9572809666343, 122.13577979337424 29.8876299609576, 121.42563591266844 29.466767971424634, 121.48993690679822 29.391227970787273, 121.70279687755124 29.535987967685138, 121.80243686418078 29.47785896653162, 121.79367086284446 29.605639966307812, 121.99368282964451 29.589227963712695, 121.89631585135498 29.384643965551234, 121.97341884203786 29.224107964978604, 121.79968287027953 29.199220967286426, 121.80573286574224 29.37839096674873, 121.74938187763735 29.192004967951902, 121.6558918902922 29.185515969165326, 121.6713028858162 29.323401968630634, 121.63757289266437 29.183019969404896, 121.52765690430624 29.278115970574998, 121.41973891762257 29.169805972173727, 121.7296068849912 28.94225096881252, 121.51439691102314 28.939492971515563, 121.68113689260895 28.867465969599632, 121.4824829182702 28.67071497249143, 121.62667890869591 28.266593971595533, 121.40144393074945 28.309897974194755, 121.3488229373171 28.138894975134463, 121.27674894067081 28.366067975533806, 121.045066957588 28.3098509782224, 121.11937695370307 28.21142797758359, 120.96549196490173 27.981921979612938, 120.81115697268365 27.971913981195993, 120.51979798741274 27.200959984925422, 120.18655399491217 27.27967998751652, 120.44253498969738 27.1543849856307, 120.25410399406428 27.12902098716138, 120.22571599523144 26.912143987600185, 120.02994499843703 26.87538298903638, 120.06196658908743 26.796334624916483, 119.86633300078381 26.64839399030344, 119.84491700063211 26.861781990261267, 119.73016400189852 26.70487199108343, 119.57104500285118 26.79571199191683, 119.54376200319643 26.628346992180806, 119.78149400165478 26.587102990870484, 119.82835400145063 26.451125990694848, 119.56555900324179 26.483489992164245, 119.67868800276653 26.318801991663168, 119.95476500032123 26.37316498997076, 119.63063100311751 26.26653299196374, 119.51124600387686 26.08346899270748, 119.7133640028776 26.016524991682903, 119.60352300377167 25.70551499247625, 119.43488300445279 25.64304499334172, 119.60277600385632 25.59566899254867, 119.639709003853 25.343633992514757, 119.56581900410424 25.46288299281551, 119.48522900444743 25.36792899326092, 119.31929000474327 25.621949993877084, 119.34243000478034 25.43705199387343, 119.28783400481848 25.58067499403529, 119.12347400505337 25.40172599479242, 119.36270900481259 25.252042993881194, 119.27395600498471 25.173665994298858, 119.13629100508206 25.266841994804825, 119.10244000512648 25.11303499500186, 119.07187700510508 25.2522279950545, 118.97579200509892 25.230517995409027, 119.06340800509827 25.28958699506943, 118.86647800503579 25.247437995771264, 118.97669200510813 25.172566995429715, 118.84805300503797 25.084655995892447, 119.02219400514821 24.962220995356624, 118.71662900490242 24.849048996374247, 118.65689900481811 24.9817539965003, 118.62013200476349 24.815415996654387, 118.78175300498356 24.779103996206725, 118.65044400480065 24.560094996651355, 118.57050300466994 24.514989996874796, 118.4256210044257 24.73561699716861, 118.4162450044006 24.607999997224603, 118.2386090040452 24.544326997626623, 118.16240700389926 24.694360997744628, 118.03930700362264 24.449737998023725, 117.78901700310428 24.497273998415768, 118.13841300381205 24.27254099788097, 117.91118600332857 24.19212699828304, 117.7491990029639 23.90482699856333, 117.70895400289908 24.04500999859635, 117.59085100263167 23.722390998786405, 117.598083002664 23.886659998756816, 117.38603200227533 23.94417599898212, 117.50425700248388 23.86637899886665, 117.4338530023415 23.738671998956207, 117.53520900252806 23.738154998847804, 117.43834700233276 23.580575998969042, 117.31395700211431 23.572352999089823, 117.4144820022999 23.67270499898311, 117.30478700211916 23.789329999076724, 117.27089700204658 23.6232869991236, 116.9865570016043 23.62965799934638, 116.99150800160271 23.509826999351784, 116.88355300145565 23.55288499941955, 116.75411200127633 23.349179999507708, 116.55143000104783 23.41362199960493, 116.81015800133878 23.237666999483107, 116.52581800101177 23.225430999624834, 116.60986300110085 23.21253599958771, 116.50205200097321 22.94138699964718, 116.19875300070498 22.98269299975287, 116.29598200078385 22.966906999722514, 115.81630700044525 22.739165999852602, 115.67762700037724 22.903804999874826, 115.5174410003043 22.757956999901573, 115.56642900032318 22.66032999989597, 115.23069800020528 22.78543499993469, 115.31915300023377 22.906411999924323, 115.19156700019403 22.784074999938387, 115.01878400015062 22.8199859999525, 114.98248300014188 22.691976999955898, 114.87066700011951 22.767007999962736, 114.96888000013882 22.681060999956898, 114.88774100012188 22.547044999962942, 114.74643700009756 22.589004999970385, 114.76985200010222 22.843131999968058, 114.52240800006734 22.737973999979406, 114.59026300007542 22.653407999977162, 114.48954000006324 22.569348999981106, 114.60904700007745 22.49974099997688, 114.49482700006365 22.453704999981202, 114.3910830000533 22.618222999984035, 114.2204970000389 22.546189999988563, 114.33558700004801 22.50623099998587, 114.19104800003663 22.38131699998945, 114.39882600005376 22.438540999984294, 114.25314300004106 22.35846699998816, 114.29731800004447 22.26324999998733, 113.92788700002188 22.368636999993885, 114.0421600000276 22.518903999991952, 113.88839700002018 22.46617299999425, 113.77268200001572 22.74917199999532, 113.52564300000904 22.78127299999732, 113.4360960000073 22.732842999997892, 113.56440000000987 22.59696799999716, 113.58869900001037 22.2413499999972, 113.37853200000632 22.22235099999833, 113.19859300000405 21.95518499999904, 113.07808700000282 22.193471999999275, 112.56005100000061 21.750619999999863, 112.42362200000036 21.831362, 112.51479300000051 21.953267999999873, 112.40366924370028 21.942536582232787, 112.40352600000028 21.73258, 112.23977700000023 21.701706, 112.22049000000015 21.847496, 112.02333099999998 21.789207, 112.05058299999996 21.879806, 111.85851300000002 21.673609, 111.85012800000004 21.771246, 111.66470400000003 21.776192, 111.79070300000001 21.614494, 111.65068799999995 21.510765, 111.44074999999998 21.595053, 111.25437199999999 21.408972, 111.29843900000003 21.496592, 111.03324900000007 21.524904, 110.64495099999999 21.249962, 110.74875599999996 21.446318, 110.62596899999994 21.216242, 110.42791699999998 21.190264, 110.50988800000005 21.294958, 110.384277 21.470695, 110.40107 21.153738, 110.22342700000002 21.031635, 110.19768668210793 21.059986661512582, 110.10359199999994 21.021925, 110.12848699999995 20.774345, 110.36332700000003 20.816731, 110.27710000000002 20.644546, 110.53031099999998 20.471409, 110.28262300000006 20.237797, 109.91741200000001 20.230997, 109.86279300000001 20.397169, 109.98351300000002 20.332829, 110.02387199999998 20.445124, 109.82662199999982 20.489178, 109.73786899999982 20.656998, 109.85983999999985 20.714245, 109.76458799999978 20.698681, 109.66137699999979 20.933403, 109.76339699999983 21.342895, 109.96502699999996 21.335365, 109.96700299999998 21.462376, 109.80634299999986 21.455675, 109.78311199999985 21.586475, 109.76938599999983 21.480843, 109.65145099999972 21.511875, 109.59989199999973 21.767567, 109.46148699999947 21.660528, 109.54489099999955 21.506748, 109.15714999999852 21.39846999999972, 109.04102299999795 21.44855499999956, 109.15248899999847 21.62897499999971, 108.91422299999704 21.60946099999939, 108.93489799999725 21.758420999999352, 108.80088799999601 21.837600999999058, 108.8676599999967 21.631364999999235, 108.74228699999526 21.59661699999894, 108.56992399999285 21.939427999998188, 108.43640899999014 21.856090999997523, 108.51291599999172 21.587403999998006, 108.39112799998907 21.55279699999735, 108.43514999999024 21.689107999997574, 108.33534999998767 21.60154899999698, 108.3517529999881 21.737092999997035, 108.28909299998634 21.535993999996666, 108.21111299998392 21.498845999996075, 108.24083699998482 21.667171999996206, 108.0998236095943 21.52951842647379)), ((120.06360974949212 26.792278326046368, 120.12618999758047 26.63779298858799, 119.83903500125143 26.519191990576246, 120.06360974949212 26.792278326046368)))",5316364.091199664
