entry_id,yes_parents,yes_children,christian_parents,christian_children,n_children,n_parents,answer_value
1258,0.0,0.0,0.0,0.14,7.0,3.0,0.0
1259,0.37,0.57,0.0,0.14,7.0,19.0,0.0
1265,0.0,0.11,0.0,0.0,9.0,2.0,0.0
1268,0.0,1.0,0.33,1.0,1.0,3.0,1.0
1269,0.14,0.92,0.0,0.0,12.0,7.0,1.0
1283,1.0,,1.0,,,1.0,0.0
1284,0.0,0.0,0.0,0.11,9.0,3.0,0.0
1290,0.18,0.38,0.09,0.38,8.0,11.0,0.0
1294,0.0,0.0,0.0,0.0,1.0,8.0,0.0
1295,0.57,0.75,0.43,0.75,4.0,7.0,1.0
1297,0.0,0.75,0.0,0.0,20.0,4.0,0.0
1308,0.0,0.67,0.0,0.67,3.0,1.0,0.0
1309,0.6,0.83,0.6,0.83,6.0,10.0,1.0
1322,0.43,,0.52,,,23.0,0.0
1324,0.0,0.58,0.0,0.06,36.0,7.0,1.0
1333,0.35,0.65,0.26,0.83,23.0,23.0,1.0
1335,1.0,,1.0,,,4.0,1.0
1337,0.0,0.0,0.0,0.0,1.0,4.0,0.0
1338,0.64,1.0,0.64,0.75,4.0,11.0,1.0
1349,0.5,0.44,0.06,0.11,9.0,16.0,0.0
1352,0.0,,0.0,,,2.0,0.0
1356,0.6,,0.53,,,15.0,1.0
1357,0.29,0.61,0.14,0.78,18.0,21.0,1.0
1367,0.33,0.5,0.17,0.62,16.0,12.0,0.0
1374,1.0,1.0,1.0,0.75,4.0,4.0,1.0
1375,0.0,0.0,0.0,0.0,12.0,4.0,0.0
1387,0.0,,0.0,,,4.0,0.0
1401,0.54,,0.38,,,13.0,0.0
1426,0.4,,0.0,,,15.0,1.0
1429,0.0,0.0,0.0,0.0,7.0,3.0,0.0
1471,0.0,0.2,0.12,0.0,10.0,17.0,0.0
1484,0.0,0.21,0.0,0.14,29.0,1.0,0.0
1529,0.45,,0.45,,,11.0,1.0
1534,0.0,0.55,0.0,0.11,65.0,7.0,0.0
1540,0.33,0.0,0.17,0.0,4.0,6.0,0.0
1544,1.0,,1.0,,,2.0,1.0
1546,0.22,0.2,0.11,0.0,5.0,9.0,0.0
1560,0.5,0.67,0.25,0.33,3.0,4.0,0.0
1573,0.33,,0.5,,,6.0,1.0
1574,0.0,0.0,0.0,0.0,5.0,4.0,0.0
1576,0.0,0.15,0.12,0.08,13.0,8.0,0.0
1581,0.0,0.3,0.17,0.26,23.0,12.0,0.0
1582,0.1,0.5,0.05,0.66,44.0,21.0,1.0
1589,0.21,,0.07,,,14.0,0.0
1595,0.0,,0.0,,,4.0,0.0
1607,1.0,0.67,1.0,0.0,3.0,1.0,1.0
1624,0.0,0.0,0.0,0.0,2.0,7.0,0.0
1628,0.58,0.71,0.25,0.29,7.0,12.0,1.0
1650,0.89,,0.22,,,9.0,1.0
1652,0.43,,0.43,,,7.0,1.0
1653,0.67,0.0,0.33,0.67,3.0,6.0,1.0
1657,0.67,,0.5,,,6.0,0.0
1659,0.8,0.0,0.4,1.0,1.0,5.0,0.0
1661,0.0,0.17,0.0,0.0,12.0,4.0,0.0
1664,0.86,1.0,0.43,1.0,1.0,7.0,0.0
1677,0.0,0.0,0.0,0.0,3.0,3.0,0.0
1683,0.0,0.0,0.14,0.12,8.0,7.0,0.0
1689,0.6,,0.4,,,5.0,1.0
1695,0.0,0.53,0.0,0.03,34.0,4.0,0.0
1697,0.56,0.84,0.44,0.34,32.0,16.0,1.0
1701,1.0,1.0,1.0,1.0,5.0,2.0,1.0
1708,1.0,0.6,0.0,0.4,5.0,1.0,1.0
1709,1.0,1.0,0.33,0.44,9.0,6.0,1.0
1735,0.71,0.78,0.14,0.0,9.0,14.0,0.0
1737,0.5,0.76,0.5,0.12,25.0,8.0,0.0
1759,1.0,0.88,0.44,0.12,8.0,9.0,1.0
1763,0.24,1.0,0.03,0.4,5.0,29.0,0.0
1774,1.0,,0.2,,,5.0,1.0
1778,0.31,0.81,0.25,0.48,27.0,16.0,0.0
1785,0.75,,0.75,,,4.0,1.0
1791,0.67,0.5,0.17,0.5,2.0,6.0,0.0
1816,0.33,0.7,0.0,0.1,10.0,6.0,0.0
