entry_id_to,answer_value_to,avg_yes,avg_christian
1284,0.0,0.0,0.0
492,0.0,0.0,0.041666666666666664
1471,0.0,0.0,0.11764705882352941
424,0.0,0.0,0.09090909090909091
997,0.0,0.0,0.0
1006,0.0,0.0,0.0
1008,0.0,0.0,0.0
1778,0.0,0.26666666666666666,0.2
970,1.0,0.05,0.05
1582,1.0,0.09523809523809523,0.047619047619047616
940,1.0,0.1,0.05
342,1.0,0.30434782608695654,0.17391304347826086
355,1.0,0.3181818181818182,0.13636363636363635
1357,1.0,0.2857142857142857,0.14285714285714285
859,0.0,0.3888888888888889,0.16666666666666666
933,0.0,0.3333333333333333,0.20833333333333334
1333,1.0,0.34782608695652173,0.2608695652173913
1124,0.0,0.0,0.0
1051,0.0,0.0,0.0
1069,0.0,0.0,0.0
2348,0.0,0.0,0.0
300,0.0,0.0,0.0
1258,0.0,0.0,0.25
2039,0.0,0.0,0.0
2187,0.0,0.0,0.16666666666666666
1683,0.0,0.0,0.125
1576,0.0,0.0,0.125
1924,0.0,0.0,0.125
2001,0.0,0.0,0.125
1581,0.0,0.0,0.16666666666666666
2190,0.0,0.0,0.1
1191,1.0,0.3333333333333333,0.0
927,0.0,0.23076923076923078,0.07692307692307693
1589,0.0,0.2,0.06666666666666667
2080,0.0,0.35294117647058826,0.23529411764705882
1367,0.0,0.3333333333333333,0.16666666666666666
1484,0.0,0.0,0.0
681,0.0,0.0,0.0
1429,0.0,0.0,0.0
1183,0.0,0.0,0.0
1574,0.0,0.0,0.0
1248,0.0,0.0,0.0
2280,0.0,0.0,0.0
2285,0.0,0.0,0.0
1375,0.0,0.0,0.0
1871,0.0,0.0,0.0
2055,0.0,0.0,0.0
1855,0.0,0.0,0.0
1677,0.0,0.0,0.0
788,0.0,0.0,0.0
1661,0.0,0.0,0.0
1898,0.0,0.0,0.0
1337,0.0,0.0,0.0
1189,0.0,0.0,0.0
308,0.0,0.0,0.0
1624,0.0,0.0,0.0
2191,0.0,0.0,0.0
1294,0.0,0.0,0.0
354,0.0,0.0,0.0
174,1.0,0.5,0.3
1983,1.0,0.45454545454545453,0.45454545454545453
2322,1.0,0.55,0.3
1903,1.0,0.5714285714285714,0.23809523809523808
2087,1.0,0.36363636363636365,0.36363636363636365
972,1.0,0.44,0.2
1737,0.0,0.4444444444444444,0.4444444444444444
1652,1.0,0.375,0.375
2272,1.0,0.75,0.16666666666666666
2263,0.0,0.8333333333333334,0.16666666666666666
1735,0.0,0.6666666666666666,0.13333333333333333
2057,0.0,0.0,0.0
2081,0.0,0.25,0.125
1546,0.0,0.2222222222222222,0.1111111111111111
2181,0.0,0.2,0.1
1290,0.0,0.18181818181818182,0.09090909090909091
2177,0.0,0.16666666666666666,0.08333333333333333
2071,0.0,0.25,0.08333333333333333
1322,0.0,0.43478260869565216,0.5217391304347826
361,0.0,0.0,0.0
2149,0.0,0.38461538461538464,0.38461538461538464
1993,0.0,0.0,0.0
196,1.0,0.4444444444444444,0.0
182,1.0,0.5,0.1
957,0.0,0.0,0.0
470,0.0,0.0,0.0
231,0.0,0.25,0.0
217,0.0,0.5,0.0
1309,1.0,0.6,0.6
442,1.0,0.5714285714285714,0.42857142857142855
1295,1.0,0.625,0.5
925,0.0,0.0,0.25
843,1.0,0.4,0.4
1626,0.0,0.0,0.0
993,1.0,0.0,0.0
1129,0.0,0.0,0.0
632,0.0,0.0,0.0
1989,0.0,0.0,0.0
1004,0.0,0.6666666666666666,0.0
1664,0.0,0.8,0.2
948,1.0,0.8,0.4
2118,0.0,0.36363636363636365,0.2727272727272727
