entry_id_to,answer_value_to,avg_yes,avg_christian
1418,1.0,0.4,0.1
492,0.0,0.32,0.08
1471,0.0,0.3888888888888889,0.16666666666666666
863,1.0,0.3125,0.09375
424,1.0,0.28,0.12
1778,1.0,0.8260869565217391,0.391304347826087
1419,1.0,0.0,0.0
1125,1.0,0.6666666666666666,0.0
1037,0.0,0.75,0.0
970,1.0,0.42857142857142855,0.047619047619047616
1133,1.0,0.5,0.0
1582,1.0,0.45454545454545453,0.045454545454545456
1253,1.0,0.5454545454545454,0.09090909090909091
1108,1.0,0.8095238095238095,0.047619047619047616
1342,1.0,0.7586206896551724,0.20689655172413793
355,1.0,0.7241379310344828,0.1724137931034483
199,1.0,0.6,0.24
1357,1.0,0.6538461538461539,0.15384615384615385
859,1.0,0.6666666666666666,0.25
933,1.0,0.6333333333333333,0.23333333333333334
1333,1.0,0.6551724137931034,0.27586206896551724
1558,1.0,0.7307692307692307,0.3076923076923077
1031,1.0,0.6923076923076923,0.34615384615384615
1051,0.0,0.0,0.0
1069,1.0,0.5,0.0
1078,1.0,0.0,0.0
211,1.0,0.0,0.0
1232,1.0,0.5,0.0
2348,1.0,0.0,0.0
1117,1.0,0.75,0.0
1258,1.0,0.6666666666666666,0.3333333333333333
2039,1.0,0.5,0.0
2187,0.0,0.75,0.25
1011,0.0,0.5714285714285714,0.14285714285714285
1683,0.0,0.36363636363636365,0.18181818181818182
1700,0.0,0.5714285714285714,0.14285714285714285
1576,0.0,0.4,0.2
1924,1.0,0.3,0.2
2001,1.0,0.3,0.2
1581,0.0,0.46153846153846156,0.23076923076923078
982,1.0,0.4444444444444444,0.1111111111111111
848,0.0,0.6153846153846154,0.07692307692307693
456,1.0,0.5833333333333334,0.08333333333333333
176,1.0,0.6,0.06666666666666667
900,1.0,0.6153846153846154,0.07692307692307693
927,1.0,0.8,0.06666666666666667
1589,1.0,0.6956521739130435,0.08695652173913043
2080,1.0,0.7391304347826086,0.21739130434782608
1367,1.0,0.7058823529411765,0.11764705882352941
893,0.0,0.8571428571428571,0.2857142857142857
1427,1.0,0.625,0.1875
986,1.0,0.782608695652174,0.34782608695652173
858,1.0,0.8095238095238095,0.2857142857142857
1858,1.0,0.8461538461538461,0.38461538461538464
479,0.0,0.0,0.0
1429,0.0,0.0,0.0
1183,0.0,0.0,0.0
1574,0.0,0.0,0.0
1248,1.0,0.0,0.0
2280,0.0,0.25,0.0
2285,0.0,0.25,0.0
1375,0.0,0.0,0.0
1871,0.0,0.25,0.0
2055,0.0,0.2,0.0
1855,0.0,0.0,0.0
1677,0.0,0.0,0.0
938,1.0,0.0,0.0
1399,0.0,0.2,0.0
788,0.0,0.3333333333333333,0.0
2342,1.0,0.0,0.0
1661,1.0,0.0,0.0
2338,0.0,0.2,0.0
1189,1.0,0.0,0.0
308,0.0,0.14285714285714285,0.0
1721,0.0,0.25,0.0
1294,0.0,0.2,0.0
2322,1.0,0.84,0.28
2331,1.0,0.8518518518518519,0.2962962962962963
1903,1.0,0.88,0.24
2087,1.0,0.9230769230769231,0.38461538461538464
1875,1.0,0.96,0.24
2160,1.0,0.5714285714285714,0.14285714285714285
1392,1.0,0.8387096774193549,0.3870967741935484
