entry_id_to,region_id_to,entry_id_from,region_id_from,overlap_start,christian_tradition_from,christian_tradition_to
1601,1817,1329,1476,-9500,False,False
1821,2002,1329,1476,-9300,False,False
1402,1558,1049,44,-4350,False,False
1403,1559,1049,44,-4000,False,False
1451,1609,1049,44,-3600,False,False
1451,1609,1402,1558,-3600,False,False
1015,517,1016,529,-4000,False,False
1015,517,232,529,-4000,False,False
1173,1318,1016,529,-3500,False,True
1173,1318,232,529,-3500,False,True
783,983,232,529,-3150,False,False
783,983,1015,517,-3150,False,False
233,530,247,525,-3750,False,False
233,530,246,525,-3750,False,False
234,533,247,525,-3050,False,False
234,533,246,525,-3050,False,False
234,533,2150,2286,-3050,False,False
234,533,233,530,-3050,False,False
738,944,247,525,-3000,False,False
738,944,246,525,-3000,False,False
738,944,1451,1609,-3000,False,False
738,944,1015,517,-3000,False,False
738,944,233,530,-3000,False,False
738,944,783,983,-3000,False,False
738,944,234,533,-3000,False,False
738,944,1173,1318,-3000,True,False
237,536,247,525,-2950,False,False
237,536,246,525,-2950,False,False
237,536,234,533,-2950,False,False
239,526,247,525,-2050,False,False
239,526,246,525,-2050,False,False
239,526,233,530,-2050,False,False
239,526,234,533,-2050,False,False
239,526,738,944,-2050,False,False
239,526,1008,535,-2050,False,False
1039,1184,247,525,-1550,False,False
1039,1184,246,525,-1550,False,False
1039,1184,234,533,-1550,False,False
1039,1184,738,944,-1550,False,False
1039,1184,239,526,-1550,False,False
1039,1184,209,136,-1550,False,False
236,532,247,525,-1050,False,False
236,532,246,525,-1050,False,False
236,532,2150,2286,-1050,False,False
236,532,234,533,-1050,False,False
236,532,738,944,-1050,False,False
236,532,237,536,-1050,False,False
2197,2258,1451,1609,-3300,False,False
216,476,230,494,-3200,False,False
1942,2046,230,494,-3000,False,False
479,476,230,494,-2900,False,False
1005,1159,230,494,-2600,False,False
1005,1159,216,476,-2600,False,False
1005,1159,479,476,-2600,False,False
1947,2053,230,494,-2500,False,False
2402,2053,230,494,-2500,False,False
2402,2053,1484,1631,-2500,False,False
1484,1631,230,494,-2500,False,False
1484,1631,216,476,-2500,False,False
1484,1631,479,476,-2500,False,False
1484,1631,1947,2053,-2500,False,False
1484,1631,1942,2046,-2500,False,False
1484,1631,1005,1159,-2500,False,False
1801,1991,230,494,-2400,False,False
1801,1991,1484,1631,-2400,False,False
1801,1991,1656,1868,-2400,False,False
1656,1868,230,494,-2400,False,False
1656,1868,1484,1631,-2400,False,False
681,904,230,494,-2350,False,False
681,904,216,476,-2350,False,False
681,904,479,476,-2350,False,False
681,904,1484,1631,-2350,False,False
681,904,1947,2053,-2350,False,False
681,904,1005,1159,-2350,False,False
681,904,1656,1868,-2350,False,False
681,904,1801,1991,-2350,False,False
681,904,2402,2053,-2350,False,False
1429,1586,230,494,-2300,False,False
1429,1586,216,476,-2300,False,False
1429,1586,479,476,-2300,False,False
1429,1586,1484,1631,-2300,False,False
1429,1586,681,904,-2300,False,False
1183,1936,230,494,-2100,False,False
1183,1936,216,476,-2100,False,False
1183,1936,1484,1631,-2100,False,False
1183,1936,1005,1159,-2100,False,False
1183,1936,1429,1586,-2100,False,False
1802,2001,230,494,-2000,False,False
1802,2001,1484,1631,-2000,False,False
1574,1328,230,494,-2000,False,False
1574,1328,216,476,-2000,False,False
1574,1328,1484,1631,-2000,False,False
1574,1328,1429,1586,-2000,False,False
1574,1328,1183,1936,-2000,False,False
1248,1394,230,494,-1972,False,False
1248,1394,216,476,-1972,False,False
1248,1394,1484,1631,-1972,False,False
1551,1586,230,494,-1970,False,False
1551,1586,216,476,-1970,False,False
1551,1586,1484,1631,-1970,False,False
1551,1586,1574,1328,-1970,False,False
2280,476,230,494,-1900,False,False
2280,476,1484,1631,-1900,False,False
2280,476,1005,1159,-1900,False,False
2280,476,1429,1586,-1900,False,False
2280,476,1574,1328,-1900,False,False
2280,476,1248,1394,-1900,False,False
2280,476,1551,1586,-1900,False,False
2285,476,230,494,-1900,False,False
2285,476,1484,1631,-1900,False,False
2285,476,1005,1159,-1900,False,False
2285,476,1429,1586,-1900,False,False
2285,476,1574,1328,-1900,False,False
2285,476,1248,1394,-1900,False,False
2285,476,1551,1586,-1900,False,False
1375,1531,230,494,-1900,False,False
1375,1531,216,476,-1900,False,False
1375,1531,1484,1631,-1900,False,False
1375,1531,1574,1328,-1900,False,False
1375,1531,2285,476,-1900,False,False
1375,1531,2280,476,-1900,False,False
1375,1531,1871,476,-1900,False,False
1871,476,230,494,-1900,False,False
1871,476,1484,1631,-1900,False,False
1871,476,1005,1159,-1900,False,False
1871,476,1429,1586,-1900,False,False
1871,476,1574,1328,-1900,False,False
1871,476,1248,1394,-1900,False,False
1871,476,1551,1586,-1900,False,False
2055,476,230,494,-1800,False,False
2055,476,1484,1631,-1800,False,False
2055,476,1005,1159,-1800,False,False
2055,476,1429,1586,-1800,False,False
2055,476,1574,1328,-1800,False,False
2055,476,1248,1394,-1800,False,False
2055,476,1375,1531,-1800,False,False
1620,1838,230,494,-1800,False,False
1620,1838,216,476,-1800,False,False
1620,1838,1484,1631,-1800,False,False
1620,1838,2285,476,-1800,False,False
1620,1838,2280,476,-1800,False,False
1620,1838,1871,476,-1800,False,False
1620,1838,2055,476,-1800,False,False
1855,1631,230,494,-1700,False,False
1855,1631,216,476,-1700,False,False
1855,1631,1947,2053,-1700,False,False
1855,1631,1005,1159,-1700,False,False
1855,1631,2402,2053,-1700,False,False
1855,1631,1429,1586,-1700,False,False
1855,1631,2285,476,-1700,False,False
1855,1631,2280,476,-1700,False,False
1855,1631,1871,476,-1700,False,False
1855,1631,1375,1531,-1700,False,False
1855,1631,2055,476,-1700,False,False
1855,1631,1802,2001,-1700,False,False
1855,1631,1620,1838,-1700,False,False
1677,1884,230,494,-1650,False,False
1677,1884,1484,1631,-1650,False,False
1677,1884,1855,1631,-1650,False,False
2295,476,230,494,-1600,False,False
2295,476,1484,1631,-1600,False,False
2295,476,1005,1159,-1600,False,False
2295,476,1429,1586,-1600,False,False
2295,476,1375,1531,-1600,False,False
2295,476,1620,1838,-1600,False,False
2295,476,1855,1631,-1600,False,False
938,1084,230,494,-1600,False,False
938,1084,1677,1884,-1600,False,False
1399,1554,230,494,-1550,False,False
1399,1554,216,476,-1550,False,False
1399,1554,1484,1631,-1550,False,False
1399,1554,1947,2053,-1550,False,False
1399,1554,2402,2053,-1550,False,False
1399,1554,2055,476,-1550,False,False
1399,1554,1620,1838,-1550,False,False
1399,1554,1855,1631,-1550,False,False
1399,1554,1677,1884,-1550,False,False
1399,1554,2295,476,-1550,False,False
1399,1554,938,1084,-1550,False,False
788,984,230,494,-1500,False,False
788,984,938,1084,-1500,False,False
788,984,1399,1554,-1500,False,False
1303,1564,230,494,-1400,False,False
1303,1564,1484,1631,-1400,False,False
1303,1564,1855,1631,-1400,False,False
1303,1564,1399,1554,-1400,False,False
2298,1084,230,494,-1400,False,False
2298,1084,1677,1884,-1400,False,False
2298,1084,1399,1554,-1400,False,False
2298,1084,788,984,-1400,False,False
2342,1084,230,494,-1350,False,False
2342,1084,1677,1884,-1350,False,False
2342,1084,1399,1554,-1350,False,False
2342,1084,788,984,-1350,False,False
1661,1631,230,494,-1300,False,False
1661,1631,216,476,-1300,False,False
1661,1631,1947,2053,-1300,False,False
1661,1631,1005,1159,-1300,False,False
1661,1631,2402,2053,-1300,False,False
1661,1631,1429,1586,-1300,False,False
1661,1631,1375,1531,-1300,False,False
1661,1631,2055,476,-1300,False,False
1661,1631,1620,1838,-1300,False,False
1661,1631,1677,1884,-1300,False,False
1661,1631,2295,476,-1300,False,False
1661,1631,1303,1564,-1300,False,False
1898,2025,230,494,-1300,False,False
1898,2025,216,476,-1300,False,False
1898,2025,1484,1631,-1300,False,False
1898,2025,1005,1159,-1300,False,False
1898,2025,1429,1586,-1300,False,False
1898,2025,1375,1531,-1300,False,False
1898,2025,2055,476,-1300,False,False
1898,2025,1620,1838,-1300,False,False
1898,2025,1855,1631,-1300,False,False
1898,2025,1677,1884,-1300,False,False
1898,2025,2295,476,-1300,False,False
1898,2025,1303,1564,-1300,False,False
1898,2025,1661,1631,-1300,False,False
780,982,230,494,-1250,False,False
780,982,1484,1631,-1250,False,False
780,982,1005,1159,-1250,False,False
780,982,1855,1631,-1250,False,False
780,982,1661,1631,-1250,False,False
2338,476,230,494,-1200,False,False
2338,476,1484,1631,-1200,False,False
2338,476,1005,1159,-1200,False,False
2338,476,1429,1586,-1200,False,False
2338,476,1375,1531,-1200,False,False
2338,476,1620,1838,-1200,False,False
2338,476,1855,1631,-1200,False,False
2338,476,1661,1631,-1200,False,False
2338,476,1898,2025,-1200,False,False
1337,1488,230,494,-1200,False,False
1337,1488,1484,1631,-1200,False,False
1337,1488,1855,1631,-1200,False,False
1337,1488,1661,1631,-1200,False,False
1284,1432,230,494,-1200,False,False
1284,1432,738,944,-1200,False,False
1284,1432,1306,1456,-1200,False,False
1284,1432,2348,2424,-1200,False,False
1284,1432,300,44,-1200,False,False
1284,1432,189,44,-1200,False,False
2398,1769,230,494,-1100,False,False
2398,1769,1484,1631,-1100,False,False
2398,1769,1855,1631,-1100,False,False
2398,1769,1661,1631,-1100,False,False
2398,1769,1337,1488,-1100,False,False
1494,1769,230,494,-1100,False,False
1494,1769,1484,1631,-1100,False,False
1494,1769,1855,1631,-1100,False,False
1494,1769,1661,1631,-1100,False,False
1494,1769,1337,1488,-1100,False,False
1473,1631,230,494,-1000,False,False
1473,1631,216,476,-1000,False,False
1473,1631,1947,2053,-1000,False,False
1473,1631,1005,1159,-1000,False,False
1473,1631,2402,2053,-1000,False,False
1473,1631,1429,1586,-1000,False,False
1473,1631,1375,1531,-1000,False,False
1473,1631,2055,476,-1000,False,False
1473,1631,1620,1838,-1000,False,False
1473,1631,2295,476,-1000,False,False
1473,1631,1898,2025,-1000,False,False
1473,1631,1337,1488,-1000,False,False
1473,1631,2398,1769,-1000,False,False
1473,1631,1494,1769,-1000,False,False
1473,1631,2338,476,-1000,False,False
1473,1631,780,982,-1000,False,False
1189,1333,230,494,-920,False,False
308,582,230,494,-900,False,False
308,582,216,476,-900,False,False
308,582,1484,1631,-900,False,False
308,582,1005,1159,-900,False,False
308,582,1429,1586,-900,False,False
308,582,1375,1531,-900,False,False
308,582,2055,476,-900,False,False
308,582,1620,1838,-900,False,False
308,582,1855,1631,-900,False,False
308,582,2295,476,-900,False,False
308,582,1661,1631,-900,False,False
308,582,1898,2025,-900,False,False
