entry_id,year_from,year_to
23,-1200.0,-1045.0
173,90.0,120.0
174,50.0,160.0
176,-150.0,68.0
178,-206.0,220.0
180,-350.0,200.0
182,48.0,56.0
184,386.0,534.0
185,1936.0,2013.0
186,1590.0,1644.0
187,-1750.0,-850.0
189,-1200.0,-400.0
190,1948.0,2015.0
193,2000.0,2013.0
195,500.0,1100.0
196,45.0,60.0
197,1604.0,1958.0
199,100.0,400.0
200,1650.0,1850.0
201,-500.0,500.0
202,-1046.0,-771.0
203,-790.0,-223.0
204,-206.0,220.0
209,-2000.0,-30.0
211,-1350.0,-1320.0
212,-481.0,-206.0
217,-202.0,-44.0
224,600.0,1100.0
227,1980.0,2000.0
228,1600.0,1900.0
230,-3300.0,-539.0
231,-600.0,-202.0
240,775.0,960.0
245,-450.0,-221.0
249,1990.0,2013.0
250,960.0,1279.0
255,-200.0,500.0
256,-10.0,-1.0
263,2000.0,2015.0
284,-3500.0,2015.0
287,100.0,400.0
294,200.0,600.0
299,-1250.0,-1046.0
300,-1200.0,-515.0
308,-900.0,-501.0
325,-193.0,-168.0
342,50.0,150.0
354,-330.0,-125.0
355,50.0,60.0
358,1500.0,1700.0
361,-500.0,-300.0
374,800.0,1600.0
381,1469.0,1606.0
383,1200.0,1700.0
387,1889.0,2016.0
389,1840.0,1970.0
390,1610.0,2016.0
392,1606.0,1708.0
395,1966.0,2016.0
400,1980.0,2015.0
406,142.0,2014.0
415,1970.0,2015.0
416,1800.0,1918.0
419,1970.0,2016.0
420,1800.0,2017.0
422,-1500.0,396.0
423,-500.0,500.0
424,-550.0,-330.0
435,1206.0,1368.0
439,800.0,1500.0
440,900.0,1200.0
441,1690.0,2017.0
442,311.0,427.0
443,1634.0,2017.0
444,1920.0,2017.0
453,1985.0,2017.0
455,1292.0,1558.0
456,-165.0,75.0
457,2013.0,2017.0
458,1869.0,2017.0
459,-1100.0,2017.0
462,1550.0,1989.0
465,2014.0,2016.0
468,1870.0,2017.0
470,-800.0,-500.0
471,2015.0,2016.0
472,1110.0,2017.0
476,1000.0,2015.0
477,1833.0,1845.0
478,-450.0,1.0
479,-2900.0,-2300.0
481,1780.0,2000.0
482,1700.0,2000.0
483,2015.0,2016.0
484,2015.0,2016.0
485,500.0,1500.0
486,1820.0,2017.0
490,1260.0,1302.0
492,-800.0,380.0
493,1858.0,2017.0
520,1600.0,2015.0
525,1951.0,2018.0
526,1900.0,2018.0
534,-42.0,518.0
535,200.0,1200.0
562,1017.0,1445.0
563,1845.0,2018.0
564,1950.0,2018.0
565,1925.0,1960.0
570,1986.0,2018.0
571,1855.0,1890.0
572,1890.0,1930.0
574,1920.0,1967.0
576,1000.0,2018.0
577,1860.0,1900.0
578,1875.0,1910.0
580,1700.0,2018.0
581,1970.0,2018.0
586,1900.0,2017.0
588,1905.0,1940.0
